# : 1 : {(d11.txt, 1)}	
&#93; : 9 : {(d1.txt, 1), (d11.txt, 17), (d14.txt, 90), (d15.txt, 2), (d17.txt, 225), (d2.txt, 7), (d4.txt, 259), (d6.txt, 16), (d8.txt, 5)}	
&amp; : 6 : {(d10.txt, 116), (d13.txt, 2), (d2.txt, 2), (d5.txt, 4), (d7.txt, 1), (d8.txt, 1)}	
&apos;70 : 1 : {(d5.txt, 1)}	
&apos;A : 2 : {(d10.txt, 1), (d14.txt, 5)}	
&apos;ARD : 1 : {(d2.txt, 1)}	
&apos;Abbe : 1 : {(d10.txt, 3)}	
&apos;Aix : 1 : {(d10.txt, 1)}	
&apos;Americain : 1 : {(d10.txt, 3)}	
&apos;And : 1 : {(d14.txt, 9)}	
&apos;Andre : 1 : {(d10.txt, 1)}	
&apos;Angers : 2 : {(d10.txt, 2), (d15.txt, 1)}	
&apos;Anglas : 1 : {(d10.txt, 4)}	
&apos;Antraigues : 1 : {(d10.txt, 1)}	
&apos;Aquitaine : 1 : {(d8.txt, 1)}	
&apos;Are : 1 : {(d14.txt, 1)}	
&apos;Arras : 1 : {(d10.txt, 1)}	
&apos;Arret : 1 : {(d10.txt, 1)}	
&apos;Assignats : 1 : {(d10.txt, 1)}	
&apos;Aure : 1 : {(d10.txt, 1)}
